Date,TrnId,Trn,TrnRk,TrnSite,TrnSpeed,TrnSpeedNb,CourtId,RoundId,Round,P1Id,P1,P2Id,P2,Result,IndexP,Player,AceRatePlayer,Srv1PtsP1,Srv1PtsWonP1,Srv2PtsP1,Srv2PtsWonP1,Rk1,Rk2,Odds1,Odds2,IsCompleted,P1ServingFirst,StatusP1,StatusP2,SetsP1,SetsP2,GamesP1,GamesP2,S1,S2,S3,S4,S5,S1_2,S2_2,S3_2,S4_2,S5_2,Duration,Age1,Age2,AvgAceRateP,AvgAceRateOpp,AvgPtsWonServ,AvgPtsWonRetrnOpp,IsEnoughData3,IsValidData
27/11/11 00:00:00,7771,Helsinki,1,,0,0,3,12,Final,10600,Timea Babos,11960,Jana Cepelova,6-3 6-1,0,Timea Babos,-1,-1,-1,-1,-1,155,220,,,True,,,,2,0,12,4,6,6,-1,-1,-1,3,1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,0,0
27/11/11 00:00:00,7771,Helsinki,1,,0,0,3,12,Final,10600,Timea Babos,11960,Jana Cepelova,6-3 6-1,1,Jana Cepelova,-1,-1,-1,-1,-1,155,220,,,True,,,,0,2,12,4,6,6,-1,-1,-1,3,1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,0,0
26/11/11 00:00:00,7771,Helsinki,1,,0,0,3,10,1/2,11960,Jana Cepelova,467,Kaia Kanepi,w/o,0,Jana Cepelova,-1,-1,-1,-1,-1,220,34,6.11,1.14,False,,,,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,0,0
26/11/11 00:00:00,7771,Helsinki,1,,0,0,3,10,1/2,11960,Jana Cepelova,467,Kaia Kanepi,w/o,1,Kaia Kanepi,-1,-1,-1,-1,-1,220,34,6.11,1.14,False,,,,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,0,0
26/11/11 00:00:00,7771,Helsinki,1,,0,0,3,10,1/2,10600,Timea Babos,11688,Annika Beck,6-4 6-4,0,Timea Babos,12.3,31,24,26,16,155,235,1.61,2.38,True,,,,2,0,12,8,6,6,-1,-1,-1,4,4,-1,-1,-1,69.5333333333333,-1,-1,-1,-1,-1,-1,0,1
26/11/11 00:00:00,7771,Helsinki,1,,0,0,3,10,1/2,10600,Timea Babos,11688,Annika Beck,6-4 6-4,1,Annika Beck,5.1,36,25,23,11,155,235,1.61,2.38,True,,,,0,2,12,8,6,6,-1,-1,-1,4,4,-1,-1,-1,69.5333333333333,-1,-1,-1,-1,-1,-1,0,1
25/11/11 00:00:00,7771,Helsinki,1,,0,0,3,9,1/4,11688,Annika Beck,596,Ana Vrljic,7-6(4) 6-1,0,Annika Beck,1.9,35,21,18,8,235,296,2.21,1.7,True,True,,,2,0,13,7,7,6,-1,-1,-1,6,1,-1,-1,-1,81.7,-1,-1,-1,-1,-1,-1,0,1
25/11/11 00:00:00,7771,Helsinki,1,,0,0,3,9,1/4,11688,Annika Beck,596,Ana Vrljic,7-6(4) 6-1,1,Ana Vrljic,1.4,52,28,21,3,235,296,2.21,1.7,True,True,,,0,2,13,7,7,6,-1,-1,-1,6,1,-1,-1,-1,81.7,-1,-1,-1,-1,-1,-1,0,1
25/11/11 00:00:00,7771,Helsinki,1,,0,0,3,9,1/4,11960,Jana Cepelova,10432,Alexandra Artamonova,6-4 6-4,0,Jana Cepelova,2.9,40,31,28,12,220,440,1.41,3.02,True,,,,2,0,12,8,6,6,-1,-1,-1,4,4,-1,-1,-1,72.3166666666667,-1,-1,-1,-1,-1,-1,0,1
25/11/11 00:00:00,7771,Helsinki,1,,0,0,3,9,1/4,11960,Jana Cepelova,10432,Alexandra Artamonova,6-4 6-4,1,Alexandra Artamonova,3.4,40,23,19,8,220,440,1.41,3.02,True,,,,0,2,12,8,6,6,-1,-1,-1,4,4,-1,-1,-1,72.3166666666667,-1,-1,-1,-1,-1,-1,0,1
25/11/11 00:00:00,7771,Helsinki,1,,0,0,3,9,1/4,467,Kaia Kanepi,10334,Daria Saville,6-0 7-6(2),0,Kaia Kanepi,12.3,40,28,25,11,34,385,1.17,5.33,True,,,,2,0,13,6,6,7,-1,-1,-1,0,6,-1,-1,-1,83.4,-1,-1,-1,-1,-1,-1,0,1
