Date,TrnId,Trn,TrnRk,TrnSite,TrnSpeed,TrnSpeedNb,CourtId,RoundId,Round,P1Id,P1,P2Id,P2,Result,IndexP,Player,AceRatePlayer,Srv1PtsP1,Srv1PtsWonP1,Srv2PtsP1,Srv2PtsWonP1,Rk1,Rk2,Odds1,Odds2,IsCompleted,P1ServingFirst,StatusP1,StatusP2,SetsP1,SetsP2,GamesP1,GamesP2,S1,S2,S3,S4,S5,S1_2,S2_2,S3_2,S4_2,S5_2,Duration,Age1,Age2,AvgAceRateP,AvgAceRateOpp,AvgPtsWonServ,AvgPtsWonRetrnOpp,IsEnoughData3,IsValidData
10/11/13 00:00:00,8807,Taipei WTA Ladies Open,1,,NaN,0,3,12,Final,12635,Alison Van Uytvanck,5650,Yanina Wickmayer,6-4 6-2,0,Alison Van Uytvanck,8.8,42,30,15,10,129,59,3.33,1.39,True,,,,2,0,12,6,6,6,-1,-1,-1,4,2,-1,-1,-1,65.7833333333333,-1,-1,-1,-1,-1,-1,0,1
10/11/13 00:00:00,8807,Taipei WTA Ladies Open,1,,NaN,0,3,12,Final,12635,Alison Van Uytvanck,5650,Yanina Wickmayer,6-4 6-2,1,Yanina Wickmayer,3.9,35,24,16,6,129,59,3.33,1.39,True,,,,0,2,12,6,6,6,-1,-1,-1,4,2,-1,-1,-1,65.7833333333333,-1,-1,-1,-1,-1,-1,0,1
09/11/13 00:00:00,8807,Taipei WTA Ladies Open,1,,NaN,0,3,10,1/2,12635,Alison Van Uytvanck,11022,Dinah Pfizenmaier,7-6(5) 6-3,0,Alison Van Uytvanck,3,65,45,35,14,129,98,1.96,1.98,True,False,,,2,0,13,9,7,6,-1,-1,-1,6,3,-1,-1,-1,106.133333333333,-1,-1,-1,-1,-1,-1,0,1
09/11/13 00:00:00,8807,Taipei WTA Ladies Open,1,,NaN,0,3,10,1/2,12635,Alison Van Uytvanck,11022,Dinah Pfizenmaier,7-6(5) 6-3,1,Dinah Pfizenmaier,8.1,37,21,25,12,129,98,1.96,1.98,True,False,,,0,2,13,9,7,6,-1,-1,-1,6,3,-1,-1,-1,106.133333333333,-1,-1,-1,-1,-1,-1,0,1
09/11/13 00:00:00,8807,Taipei WTA Ladies Open,1,,NaN,0,3,10,1/2,5650,Yanina Wickmayer,11572,Luksika Kumkhum,6-3 6-1,0,Yanina Wickmayer,4.1,31,21,18,10,59,114,1.4,3.25,True,,,,2,0,12,4,6,6,-1,-1,-1,3,1,-1,-1,-1,64.2,-1,-1,-1,-1,-1,-1,0,1
09/11/13 00:00:00,8807,Taipei WTA Ladies Open,1,,NaN,0,3,10,1/2,5650,Yanina Wickmayer,11572,Luksika Kumkhum,6-3 6-1,1,Luksika Kumkhum,5.7,33,17,20,9,59,114,1.4,3.25,True,,,,0,2,12,4,6,6,-1,-1,-1,3,1,-1,-1,-1,64.2,-1,-1,-1,-1,-1,-1,0,1
08/11/13 00:00:00,8807,Taipei WTA Ladies Open,1,,NaN,0,3,9,1/4,12635,Alison Van Uytvanck,3900,Ekaterina Bychkova,6-3 6-7(2) 7-5,0,Alison Van Uytvanck,10.6,65,49,29,19,129,174,1.55,2.67,True,True,,,2,1,19,15,6,6,7,-1,-1,3,7,5,-1,-1,128.316666666667,-1,-1,-1,-1,-1,-1,0,1
08/11/13 00:00:00,8807,Taipei WTA Ladies Open,1,,NaN,0,3,9,1/4,12635,Alison Van Uytvanck,3900,Ekaterina Bychkova,6-3 6-7(2) 7-5,1,Ekaterina Bychkova,12.6,66,53,45,19,129,174,1.55,2.67,True,True,,,1,2,19,15,6,6,7,-1,-1,3,7,5,-1,-1,128.316666666667,-1,-1,-1,-1,-1,-1,0,1
08/11/13 00:00:00,8807,Taipei WTA Ladies Open,1,,NaN,0,3,9,1/4,11022,Dinah Pfizenmaier,8049,Katarzyna Piter,3-6 6-3 6-2,0,Dinah Pfizenmaier,12.7,55,42,24,11,98,122,1.96,1.96,True,,,,2,1,15,11,3,6,6,-1,-1,6,3,2,-1,-1,106.716666666667,-1,-1,-1,-1,-1,-1,0,1
08/11/13 00:00:00,8807,Taipei WTA Ladies Open,1,,NaN,0,3,9,1/4,11022,Dinah Pfizenmaier,8049,Katarzyna Piter,3-6 6-3 6-2,1,Katarzyna Piter,2.4,54,37,31,13,98,122,1.96,1.96,True,,,,1,2,15,11,3,6,6,-1,-1,6,3,2,-1,-1,106.716666666667,-1,-1,-1,-1,-1,-1,0,1
