Date,TrnId,Trn,TrnRk,TrnSite,TrnSpeed,TrnSpeedNb,CourtId,RoundId,Round,P1Id,P1,P2Id,P2,Result,IndexP,Player,AceRatePlayer,Srv1PtsP1,Srv1PtsWonP1,Srv2PtsP1,Srv2PtsWonP1,Rk1,Rk2,Odds1,Odds2,IsCompleted,P1ServingFirst,StatusP1,StatusP2,SetsP1,SetsP2,GamesP1,GamesP2,S1,S2,S3,S4,S5,S1_2,S2_2,S3_2,S4_2,S5_2,Duration,Age1,Age2,AvgAceRateP,AvgAceRateOpp,AvgPtsWonServ,AvgPtsWonRetrnOpp,IsEnoughData3,IsValidData
09/11/14 00:00:00,9775,Fed Cup; World Group; F; CZE-GER 3-1,5,,0,0,3,15,Rubber 3,8234,Petra Kvitova,4076,Angelique Kerber,7-6(5) 4-6 6-4,0,Petra Kvitova,10.1,76,49,43,16,4,10,1.35,3.63,True,,,,2,1,17,16,7,4,6,-1,-1,6,6,4,-1,-1,177,-1,-1,-1,-1,-1,-1,0,1
09/11/14 00:00:00,9775,Fed Cup; World Group; F; CZE-GER 3-1,5,,0,0,3,15,Rubber 3,8234,Petra Kvitova,4076,Angelique Kerber,7-6(5) 4-6 6-4,1,Angelique Kerber,0,86,50,49,21,4,10,1.35,3.63,True,,,,1,2,17,16,7,4,6,-1,-1,6,6,4,-1,-1,177,-1,-1,-1,-1,-1,-1,0,1
09/11/14 00:00:00,9686,Open GDF Suez De Limoges - Limoges,1,1072,NaN,0,3,12,Final,13478,Tereza Smitkova,9458,Kristina Mladenovic,7-6(4) 7-5,0,Tereza Smitkova,13.8,56,41,31,14,83,81,2.12,1.81,True,,,,2,0,14,11,7,7,-1,-1,-1,6,5,-1,-1,-1,100.816666666667,-1,-1,-1,-1,-1,-1,0,1
09/11/14 00:00:00,9686,Open GDF Suez De Limoges - Limoges,1,1072,NaN,0,3,12,Final,13478,Tereza Smitkova,9458,Kristina Mladenovic,7-6(4) 7-5,1,Kristina Mladenovic,8.6,45,32,25,12,83,81,2.12,1.81,True,,,,0,2,14,11,7,7,-1,-1,-1,6,5,-1,-1,-1,100.816666666667,-1,-1,-1,-1,-1,-1,0,1
09/11/14 00:00:00,9685,The OEC Taipei WTA Ladies Open - Taipei,1,1059,NaN,0,4,12,Final,9247,Vitalia Diatchenko,5592,Latisha Chan,1-6 6-2 6-4,0,Vitalia Diatchenko,1,66,45,31,10,108,212,1.68,2.35,True,True,,,2,1,13,12,1,6,6,-1,-1,6,2,4,-1,-1,120.6,-1,-1,-1,-1,-1,-1,0,1
09/11/14 00:00:00,9685,The OEC Taipei WTA Ladies Open - Taipei,1,1059,NaN,0,4,12,Final,9247,Vitalia Diatchenko,5592,Latisha Chan,1-6 6-2 6-4,1,Latisha Chan,0,44,28,23,8,108,212,1.68,2.35,True,True,,,1,2,13,12,1,6,6,-1,-1,6,2,4,-1,-1,120.6,-1,-1,-1,-1,-1,-1,0,1
08/11/14 00:00:00,9775,Fed Cup; World Group; F; CZE-GER 3-1,5,,0,0,3,14,Rubber 2,4089,Lucie Safarova,4076,Angelique Kerber,6-4 6-4,0,Lucie Safarova,7.8,41,26,23,11,17,10,2.04,1.89,True,,,,2,0,12,8,6,6,-1,-1,-1,4,4,-1,-1,-1,88,-1,-1,-1,-1,-1,-1,0,1
08/11/14 00:00:00,9775,Fed Cup; World Group; F; CZE-GER 3-1,5,,0,0,3,14,Rubber 2,4089,Lucie Safarova,4076,Angelique Kerber,6-4 6-4,1,Angelique Kerber,5.2,26,16,32,15,17,10,2.04,1.89,True,,,,0,2,12,8,6,6,-1,-1,-1,4,4,-1,-1,-1,88,-1,-1,-1,-1,-1,-1,0,1
08/11/14 00:00:00,9775,Fed Cup; World Group; F; CZE-GER 3-1,5,,0,0,3,13,Rubber 1,8234,Petra Kvitova,945,Andrea Petkovic,6-2 6-4,0,Petra Kvitova,7.8,28,21,23,12,4,14,1.27,4.26,True,,,,2,0,12,6,6,6,-1,-1,-1,2,4,-1,-1,-1,77,-1,-1,-1,-1,-1,-1,0,1
08/11/14 00:00:00,9775,Fed Cup; World Group; F; CZE-GER 3-1,5,,0,0,3,13,Rubber 1,8234,Petra Kvitova,945,Andrea Petkovic,6-2 6-4,1,Andrea Petkovic,1.8,32,17,23,11,4,14,1.27,4.26,True,,,,0,2,12,6,6,6,-1,-1,-1,2,4,-1,-1,-1,77,-1,-1,-1,-1,-1,-1,0,1
08/11/14 00:00:00,9686,Open GDF Suez De Limoges - Limoges,1,1072,NaN,0,3,10,1/2,9458,Kristina Mladenovic,14539,Oceane Dodin,7-5 2-6 6-3,0,Kristina Mladenovic,14.4,56,44,41,18,81,245,1.67,2.39,True,True,,,2,1,15,14,7,2,6,-1,-1,5,6,3,-1,-1,133.416666666667,-1,-1,-1,-1,-1,-1,0,1
08/11/14 00:00:00,9686,Open GDF Suez De Limoges - Limoges,1,1072,NaN,0,3,10,1/2,9458,Kristina Mladenovic,14539,Oceane Dodin,7-5 2-6 6-3,1,Oceane Dodin,7.7,56,43,48,22,81,245,1.67,2.39,True,True,,,1,2,15,14,7,2,6,-1,-1,5,6,3,-1,-1,133.416666666667,-1,-1,-1,-1,-1,-1,0,1
08/11/14 00:00:00,9685,The OEC Taipei WTA Ladies Open - Taipei,1,1059,NaN,0,4,10,1/2,5592,Latisha Chan,12389,Anna-Lena Friedsam,6-3 4-6 6-3,0,Latisha Chan,2.6,59,40,19,11,212,87,2.71,1.54,True,,,,2,1,16,12,6,4,6,-1,-1,3,6,3,-1,-1,120.033333333333,-1,-1,-1,-1,-1,-1,0,1
08/11/14 00:00:00,9685,The OEC Taipei WTA Ladies Open - Taipei,1,1059,NaN,0,4,10,1/2,5592,Latisha Chan,12389,Anna-Lena Friedsam,6-3 4-6 6-3,1,Anna-Lena Friedsam,7.3,61,34,21,11,212,87,2.71,1.54,True,,,,1,2,16,12,6,4,6,-1,-1,3,6,3,-1,-1,120.033333333333,-1,-1,-1,-1,-1,-1,0,1
08/11/14 00:00:00,9686,Open GDF Suez De Limoges - Limoges,1,1072,NaN,0,3,10,1/2,13478,Tereza Smitkova,344,Francesca Schiavone,6-3 6-2,0,Tereza Smitkova,6.9,35,27,23,13,83,82,2.44,1.64,True,True,,,2,0,12,5,6,6,-1,-1,-1,3,2,-1,-1,-1,68.7166666666667,-1,-1,-1,-1,-1,-1,0,1
08/11/14 00:00:00,9686,Open GDF Suez De Limoges - Limoges,1,1072,NaN,0,3,10,1/2,13478,Tereza Smitkova,344,Francesca Schiavone,6-3 6-2,1,Francesca Schiavone,2.2,27,20,19,7,83,82,2.44,1.64,True,True,,,0,2,12,5,6,6,-1,-1,-1,3,2,-1,-1,-1,68.7166666666667,-1,-1,-1,-1,-1,-1,0,1
08/11/14 00:00:00,9685,The OEC Taipei WTA Ladies Open - Taipei,1,1059,NaN,0,4,10,1/2,9247,Vitalia Diatchenko,9728,Ana Bogdan,6-4 3-6 6-3,0,Vitalia Diatchenko,2.9,69,39,36,19,108,241,1.38,3.46,True,,,,2,1,15,13,6,3,6,-1,-1,4,6,3,-1,-1,136.766666666667,-1,-1,-1,-1,-1,-1,0,1
08/11/14 00:00:00,9685,The OEC Taipei WTA Ladies Open - Taipei,1,1059,NaN,0,4,10,1/2,9247,Vitalia Diatchenko,9728,Ana Bogdan,6-4 3-6 6-3,1,Ana Bogdan,3.8,80,42,25,10,108,241,1.38,3.46,True,,,,1,2,15,13,6,3,6,-1,-1,4,6,3,-1,-1,136.766666666667,-1,-1,-1,-1,-1,-1,0,1
07/11/14 00:00:00,9685,The OEC Taipei WTA Ladies Open - Taipei,1,1059,NaN,0,4,9,1/4,9728,Ana Bogdan,12144,Saisai Zheng,6-7(3) 6-1 6-4,0,Ana Bogdan,1.1,61,42,31,16,241,97,3.49,1.36,True,False,,,2,1,18,12,6,6,6,-1,-1,7,1,4,-1,-1,150.8,-1,-1,-1,-1,-1,-1,0,1
07/11/14 00:00:00,9685,The OEC Taipei WTA Ladies Open - Taipei,1,1059,NaN,0,4,9,1/4,9728,Ana Bogdan,12144,Saisai Zheng,6-7(3) 6-1 6-4,1,Saisai Zheng,1,77,46,25,10,241,97,3.49,1.36,True,False,,,1,2,18,12,6,6,6,-1,-1,7,1,4,-1,-1,150.8,-1,-1,-1,-1,-1,-1,0,1
07/11/14 00:00:00,9685,The OEC Taipei WTA Ladies Open - Taipei,1,1059,NaN,0,4,9,1/4,12389,Anna-Lena Friedsam,9357,Magda Linette,7-6(0) 6-4,0,Anna-Lena Friedsam,10.1,61,44,28,13,87,117,1.56,2.64,True,,,,2,0,13,10,7,6,-1,-1,-1,6,4,-1,-1,-1,106.433333333333,-1,-1,-1,-1,-1,-1,0,1
07/11/14 00:00:00,9685,The OEC Taipei WTA Ladies Open - Taipei,1,1059,NaN,0,4,9,1/4,12389,Anna-Lena Friedsam,9357,Magda Linette,7-6(0) 6-4,1,Magda Linette,3.4,55,37,34,14,87,117,1.56,2.64,True,,,,0,2,13,10,7,6,-1,-1,-1,6,4,-1,-1,-1,106.433333333333,-1,-1,-1,-1,-1,-1,0,1
07/11/14 00:00:00,9686,Open GDF Suez De Limoges - Limoges,1,1072,NaN,0,3,9,1/4,344,Francesca Schiavone,10599,Richel Hogenkamp,6-4 7-6(2),0,Francesca Schiavone,2.7,39,25,34,19,82,148,1.43,3.1,True,,,,2,0,13,10,6,7,-1,-1,-1,4,6,-1,-1,-1,97.2666666666667,-1,-1,-1,-1,-1,-1,0,1
07/11/14 00:00:00,9686,Open GDF Suez De Limoges - Limoges,1,1072,NaN,0,3,9,1/4,344,Francesca Schiavone,10599,Richel Hogenkamp,6-4 7-6(2),1,Richel Hogenkamp,2.8,50,31,22,9,82,148,1.43,3.1,True,,,,0,2,13,10,6,7,-1,-1,-1,4,6,-1,-1,-1,97.2666666666667,-1,-1,-1,-1,-1,-1,0,1
07/11/14 00:00:00,9686,Open GDF Suez De Limoges - Limoges,1,1072,NaN,0,3,9,1/4,9458,Kristina Mladenovic,12390,Yulia Putintseva,6-2 7-6(5),0,Kristina Mladenovic,2.8,38,29,34,14,81,113,1.62,2.5,True,,,,2,0,13,8,6,7,-1,-1,-1,2,6,-1,-1,-1,104.316666666667,-1,-1,-1,-1,-1,-1,0,1
07/11/14 00:00:00,9686,Open GDF Suez De Limoges - Limoges,1,1072,NaN,0,3,9,1/4,9458,Kristina Mladenovic,12390,Yulia Putintseva,6-2 7-6(5),1,Yulia Putintseva,1.4,45,23,24,11,81,113,1.62,2.5,True,,,,0,2,13,8,6,7,-1,-1,-1,2,6,-1,-1,-1,104.316666666667,-1,-1,-1,-1,-1,-1,0,1
07/11/14 00:00:00,9685,The OEC Taipei WTA Ladies Open - Taipei,1,1059,NaN,0,4,9,1/4,5592,Latisha Chan,4176,Alla Kudryavtseva,6-3 3-6 6-1,0,Latisha Chan,2.7,53,38,20,12,212,98,2.1,1.84,True,True,,,2,1,15,10,6,3,6,-1,-1,3,6,1,-1,-1,102.366666666667,-1,-1,-1,-1,-1,-1,0,1
07/11/14 00:00:00,9685,The OEC Taipei WTA Ladies Open - Taipei,1,1059,NaN,0,4,9,1/4,5592,Latisha Chan,4176,Alla Kudryavtseva,6-3 3-6 6-1,1,Alla Kudryavtseva,4,56,32,19,12,212,98,2.1,1.84,True,True,,,1,2,15,10,6,3,6,-1,-1,3,6,1,-1,-1,102.366666666667,-1,-1,-1,-1,-1,-1,0,1
07/11/14 00:00:00,9686,Open GDF Suez De Limoges - Limoges,1,1072,NaN,0,3,9,1/4,14539,Oceane Dodin,17673,Ana Konjuh,7-5 6-3,0,Oceane Dodin,7.7,39,26,26,14,245,90,2.24,1.74,True,False,,,2,0,13,8,7,6,-1,-1,-1,5,3,-1,-1,-1,83.6,-1,-1,-1,-1,-1,-1,0,1
07/11/14 00:00:00,9686,Open GDF Suez De Limoges - Limoges,1,1072,NaN,0,3,9,1/4,14539,Oceane Dodin,17673,Ana Konjuh,7-5 6-3,1,Ana Konjuh,11.1,36,25,36,12,245,90,2.24,1.74,True,False,,,0,2,13,8,7,6,-1,-1,-1,5,3,-1,-1,-1,83.6,-1,-1,-1,-1,-1,-1,0,1
07/11/14 00:00:00,9686,Open GDF Suez De Limoges - Limoges,1,1072,NaN,0,3,9,1/4,13478,Tereza Smitkova,9857,Lesya Tsurenko,6-2 6-3,0,Tereza Smitkova,5,41,32,19,6,83,96,1.75,2.23,True,True,,,2,0,12,5,6,6,-1,-1,-1,2,3,-1,-1,-1,72.85,-1,-1,-1,-1,-1,-1,0,1
07/11/14 00:00:00,9686,Open GDF Suez De Limoges - Limoges,1,1072,NaN,0,3,9,1/4,13478,Tereza Smitkova,9857,Lesya Tsurenko,6-2 6-3,1,Lesya Tsurenko,0,35,23,27,8,83,96,1.75,2.23,True,True,,,0,2,12,5,6,6,-1,-1,-1,2,3,-1,-1,-1,72.85,-1,-1,-1,-1,-1,-1,0,1
07/11/14 00:00:00,9685,The OEC Taipei WTA Ladies Open - Taipei,1,1059,NaN,0,4,9,1/4,9247,Vitalia Diatchenko,11572,Luksika Kumkhum,6-2 6-3,0,Vitalia Diatchenko,8,30,22,20,6,108,85,1.68,2.37,True,True,,,2,0,12,5,6,6,-1,-1,-1,2,3,-1,-1,-1,69.4833333333333,-1,-1,-1,-1,-1,-1,0,1
07/11/14 00:00:00,9685,The OEC Taipei WTA Ladies Open - Taipei,1,1059,NaN,0,4,9,1/4,9247,Vitalia Diatchenko,11572,Luksika Kumkhum,6-2 6-3,1,Luksika Kumkhum,0,42,20,21,7,108,85,1.68,2.37,True,True,,,0,2,12,5,6,6,-1,-1,-1,2,3,-1,-1,-1,69.4833333333333,-1,-1,-1,-1,-1,-1,0,1
06/11/14 00:00:00,9685,The OEC Taipei WTA Ladies Open - Taipei,1,1059,NaN,0,4,5,Second,9728,Ana Bogdan,12882,Yafan Wang,6-3 6-3,0,Ana Bogdan,15.1,31,19,22,15,241,191,2.25,1.72,True,,,,2,0,12,6,6,6,-1,-1,-1,3,3,-1,-1,-1,74.3,-1,-1,-1,-1,-1,-1,0,1
06/11/14 00:00:00,9685,The OEC Taipei WTA Ladies Open - Taipei,1,1059,NaN,0,4,5,Second,9728,Ana Bogdan,12882,Yafan Wang,6-3 6-3,1,Yafan Wang,2.7,53,30,22,6,241,191,2.25,1.72,True,,,,0,2,12,6,6,6,-1,-1,-1,3,3,-1,-1,-1,74.3,-1,-1,-1,-1,-1,-1,0,1
06/11/14 00:00:00,9685,The OEC Taipei WTA Ladies Open - Taipei,1,1059,NaN,0,4,5,Second,12389,Anna-Lena Friedsam,4977,Shahar Peer,6-3 3-6 6-2,0,Anna-Lena Friedsam,9.1,62,40,26,13,87,119,1.54,2.66,True,,,,2,1,15,11,6,3,6,-1,-1,3,6,2,-1,-1,109.333333333333,-1,-1,-1,-1,-1,-1,0,1
06/11/14 00:00:00,9685,The OEC Taipei WTA Ladies Open - Taipei,1,1059,NaN,0,4,5,Second,12389,Anna-Lena Friedsam,4977,Shahar Peer,6-3 3-6 6-2,1,Shahar Peer,0,56,31,25,14,87,119,1.54,2.66,True,,,,1,2,15,11,6,3,6,-1,-1,3,6,2,-1,-1,109.333333333333,-1,-1,-1,-1,-1,-1,0,1
06/11/14 00:00:00,9686,Open GDF Suez De Limoges - Limoges,1,1072,NaN,0,3,5,Second,344,Francesca Schiavone,13265,Anna Schmiedlova,4-6 6-4 6-3,0,Francesca Schiavone,3.8,42,32,37,16,82,73,1.65,2.39,True,False,,,2,1,16,13,4,6,6,-1,-1,6,4,3,-1,-1,128.05,-1,-1,-1,-1,-1,-1,0,1
06/11/14 00:00:00,9686,Open GDF Suez De Limoges - Limoges,1,1072,NaN,0,3,5,Second,344,Francesca Schiavone,13265,Anna Schmiedlova,4-6 6-4 6-3,1,Anna Schmiedlova,1.1,66,40,26,8,82,73,1.65,2.39,True,False,,,1,2,16,13,4,6,6,-1,-1,6,4,3,-1,-1,128.05,-1,-1,-1,-1,-1,-1,0,1
06/11/14 00:00:00,9686,Open GDF Suez De Limoges - Limoges,1,1072,NaN,0,3,5,Second,9458,Kristina Mladenovic,11573,Maryna Zanevska,7-6(7) 3-2 ret.,0,Kristina Mladenovic,10.5,35,24,22,11,81,134,1.71,2.27,False,,,,1,0,7,6,7,-1,-1,-1,-1,6,-1,-1,-1,-1,80.7833333333333,-1,-1,-1,-1,-1,-1,0,1
06/11/14 00:00:00,9686,Open GDF Suez De Limoges - Limoges,1,1072,NaN,0,3,5,Second,9458,Kristina Mladenovic,11573,Maryna Zanevska,7-6(7) 3-2 ret.,1,Maryna Zanevska,5.7,30,22,23,7,81,134,1.71,2.27,False,,,,0,1,7,6,7,-1,-1,-1,-1,6,-1,-1,-1,-1,80.7833333333333,-1,-1,-1,-1,-1,-1,0,1
06/11/14 00:00:00,9686,Open GDF Suez De Limoges - Limoges,1,1072,NaN,0,3,5,Second,9857,Lesya Tsurenko,353,Virginie Razzano,7-6(2) 6-7(3) 6-1,0,Lesya Tsurenko,2.1,52,29,42,14,96,172,1.8,2.12,True,False,,,2,1,19,14,7,6,6,-1,-1,6,7,1,-1,-1,124.5,-1,-1,-1,-1,-1,-1,0,1
