Date,TrnId,Trn,TrnRk,TrnSite,TrnSpeed,TrnSpeedNb,CourtId,RoundId,Round,P1Id,P1,P2Id,P2,Result,IndexP,Player,AceRatePlayer,Srv1PtsP1,Srv1PtsWonP1,Srv2PtsP1,Srv2PtsWonP1,Rk1,Rk2,Odds1,Odds2,IsCompleted,P1ServingFirst,StatusP1,StatusP2,SetsP1,SetsP2,GamesP1,GamesP2,S1,S2,S3,S4,S5,S1_2,S2_2,S3_2,S4_2,S5_2,Duration,Age1,Age2,AvgAceRateP,AvgAceRateOpp,AvgPtsWonServ,AvgPtsWonRetrnOpp,IsEnoughData3,IsValidData
25/11/12 00:00:00,8344,Toyota,1,,0,0,4,12,Final,5369,Stefanie Voegele,10464,Kimiko Date,7-6(3) 6-4,0,Stefanie Voegele,10,47,32,33,15,116,120,2.17,1.77,True,,,,2,0,13,10,7,6,-1,-1,-1,6,4,-1,-1,-1,104.383333333333,-1,-1,-1,-1,-1,-1,0,1
25/11/12 00:00:00,8344,Toyota,1,,0,0,4,12,Final,5369,Stefanie Voegele,10464,Kimiko Date,7-6(3) 6-4,1,Kimiko Date,1.2,61,33,21,11,116,120,2.17,1.77,True,,,,0,2,13,10,7,6,-1,-1,-1,6,4,-1,-1,-1,104.383333333333,-1,-1,-1,-1,-1,-1,0,1
24/11/12 00:00:00,8344,Toyota,1,,0,0,4,10,1/2,10464,Kimiko Date,6054,Samantha Murray,6-3 6-2,0,Kimiko Date,0,34,24,15,11,120,288,1.35,3.5,True,True,,,2,0,12,5,6,6,-1,-1,-1,3,2,-1,-1,-1,60.15,-1,-1,-1,-1,-1,-1,0,1
24/11/12 00:00:00,8344,Toyota,1,,0,0,4,10,1/2,10464,Kimiko Date,6054,Samantha Murray,6-3 6-2,1,Samantha Murray,3.6,37,22,19,6,120,288,1.35,3.5,True,True,,,0,2,12,5,6,6,-1,-1,-1,3,2,-1,-1,-1,60.15,-1,-1,-1,-1,-1,-1,0,1
24/11/12 00:00:00,8344,Toyota,1,,0,0,4,10,1/2,5369,Stefanie Voegele,15,Tamarine Tanasugarn,6-3 6-3,0,Stefanie Voegele,15.9,35,26,28,12,116,133,1.93,1.97,True,,,,2,0,12,6,6,6,-1,-1,-1,3,3,-1,-1,-1,78.4666666666667,-1,-1,-1,-1,-1,-1,0,1
24/11/12 00:00:00,8344,Toyota,1,,0,0,4,10,1/2,5369,Stefanie Voegele,15,Tamarine Tanasugarn,6-3 6-3,1,Tamarine Tanasugarn,1.6,42,22,22,10,116,133,1.93,1.97,True,,,,0,2,12,6,6,6,-1,-1,-1,3,3,-1,-1,-1,78.4666666666667,-1,-1,-1,-1,-1,-1,0,1
23/11/12 00:00:00,8344,Toyota,1,,0,0,4,9,1/4,10464,Kimiko Date,8353,Kurumi Nara,7-5 6-3,0,Kimiko Date,3.6,20,13,8,3,120,163,1.62,2.44,True,True,,,2,0,13,8,7,6,-1,-1,-1,5,3,-1,-1,-1,60.3833333333333,-1,-1,-1,-1,-1,-1,0,1
23/11/12 00:00:00,8344,Toyota,1,,0,0,4,9,1/4,10464,Kimiko Date,8353,Kurumi Nara,7-5 6-3,1,Kurumi Nara,2.1,40,23,8,3,120,163,1.62,2.44,True,True,,,0,2,13,8,7,6,-1,-1,-1,5,3,-1,-1,-1,60.3833333333333,-1,-1,-1,-1,-1,-1,0,1
23/11/12 00:00:00,8344,Toyota,1,,0,0,4,9,1/4,6054,Samantha Murray,4257,Nudnida Luangnam,6-2 6-7(5) 6-4,0,Samantha Murray,6.4,55,35,39,20,288,213,2.2,1.75,True,,,,2,1,18,13,6,6,6,-1,-1,2,7,4,-1,-1,119.733333333333,-1,-1,-1,-1,-1,-1,0,1
23/11/12 00:00:00,8344,Toyota,1,,0,0,4,9,1/4,6054,Samantha Murray,4257,Nudnida Luangnam,6-2 6-7(5) 6-4,1,Nudnida Luangnam,1.1,65,33,22,9,288,213,2.2,1.75,True,,,,1,2,18,13,6,6,6,-1,-1,2,7,4,-1,-1,119.733333333333,-1,-1,-1,-1,-1,-1,0,1
23/11/12 00:00:00,8344,Toyota,1,,0,0,4,9,1/4,5369,Stefanie Voegele,12966,Ashleigh Barty,7-6(4) 6-2,0,Stefanie Voegele,11.8,47,34,29,14,116,185,1.85,2.05,True,,,,2,0,13,8,7,6,-1,-1,-1,6,2,-1,-1,-1,81.9166666666667,-1,-1,-1,-1,-1,-1,0,1
23/11/12 00:00:00,8344,Toyota,1,,0,0,4,9,1/4,5369,Stefanie Voegele,12966,Ashleigh Barty,7-6(4) 6-2,1,Ashleigh Barty,2.8,40,24,31,15,116,185,1.85,2.05,True,,,,0,2,13,8,7,6,-1,-1,-1,6,2,-1,-1,-1,81.9166666666667,-1,-1,-1,-1,-1,-1,0,1
